AROKATO;Nom;Etat2001;Dist2001;Longitude;Latitude;Stat_cap;Dist_Cap;Status U/R;Status D;1961;1981;1991;2001;2011
ARR2533305;Hosur;33;5;77.830574;12.732895;0;0;U;M;31481;50116;54948;107909;193112
ARR254924;Sitapur;9;24;80.680525;27.570841;0;1;U;M;37099;104904;126237;160528;192877
ARR2552334;Bareli;23;34;78.22775;23.003594;0;0;U;TP;9459;16594;18645;27379;191056
ARR2561907;Aurangabad;19;7;88.042413;24.599536;0;1;U;CT;56726;109608;114360;147878;190760
ARR257311;Firozpur;3;11;74.60916;30.934249;0;1;U;M;64437;119281;146798;177074;190001
ARR2581004;Sitamarhi;10;4;85.5031;26.5921;0;1;U;M;75082;106102;118357;142248;188740
ARR2592404;Mahesana;24;4;72.3831;23.6063;0;1;U;M;74832;111251;117118;151714;188090
ARR2601002;Motihari;10;2;84.9235;26.651;0;0;U;M;60900;107234;119368;154990;187603
ARR261935;Orai;9;35;79.4541;25.9861;0;0;U;M;68459;93780;98716;139318;187185
ARR262611;Sirsa;6;11;75.0303;29.5321;0;0;U;M.CORP;65422;106941;116098;164567;187120
ARR2632307;Guna;23;7;77.31;24.649283;0;1;U;M;37252;96820;101978;139759;186057
ARR264305;Hoshiarpur;3;5;75.912482;31.529841;0;1;U;M;94884;117136;132581;163005;185771
ARR2651807;Belsor;18;7;91.3481;26.3845;0;0;U;CT;86146;146760;155969;173691;182839
ARR2662815;Bhimavaram;28;15;81.526134;16.541546;0;0;U;M;89979;139535;157641;179040;182669
ARR2671032;Dehri;10;32;84.18377638;24.90245402;0;0;U;M;92108;115856;124555;155567;182608
ARR268909;Modinagar;9;9;77.57123;28.824084;0;0;U;M;70770;123147;132910;153406;182047
ARR2692421;Anklesvar;24;21;73.001502;21.636767;0;0;U;M;56797;90026;104663;158258;181374
ARR2702306;Shivpuri;23;6;77.6559;25.4221;0;1;U;M;53370;100698;108277;146892;179972
ARR271926;Unnao;9;26;80.488078;26.543065;0;1;U;M;64294;102054;107425;144662;178681
ARR2722711;Gondiya;27;11;80.193691;21.4573;0;1;U;M;95033;128545;144107;157524;177775
