Idreg,REG,pays,pop1959,pop1970,pop1979,pop1989,pop2002,pop2010,Urb1959,Urb1970,Urb1979,Urb1989,Urb2002,Urb2010,1959,1970,1979,1989,2002,2010,TURB0,TURB11,TURB20,TURB30,TURB43,TURB51
RUS36,Lipetsk,Russie,1142,1224,1225,1230,1213,1174,331.846,516.652,648.89,733.542,750.322,736.781,29.1,42.2,53,59.6,61.8,62.8,-23.2828489692,-12.2828489692,-3.2828489692,6.7171510308,19.7171510308,27.7171510308
RUS37,Magadan,Russie,236,352,466,392,237,208,62.2,92.1,133.5,168.8,110.437,108.978,26.4,26.1,28.7,43.1,46.7,52.5,-47.3581174246,-36.3581174246,-27.3581174246,-17.3581174246,-4.3581174246,3.6418825754
RUS38,Marii-El,Russie,648,685,703,749,728,696,102.445,184.832,241.884,305.471,319.628,309.402,15.8,27,34.4,40.8,43.9,44.4,-53.6673369528,-42.6673369528,-33.6673369528,-23.6673369528,-10.6673369528,-2.6673369528
RUS39,Mordovie,Russie,1000,1030,991,964,889,835,126.4,260.102,355.432,421.455,411.957,400.235,12.6,25.3,35.9,43.7,46.4,47.9,-47.4189821812,-36.4189821812,-27.4189821812,-17.4189821812,-4.4189821812,3.5810178188
RUS41,Mourmansk,Russie,568,800,965,1165,893,795,447.645,635.835,777.626,973.75,760.719,689.637,78.9,79.5,80.5,83.6,85.2,86.7,113.2987887169,124.2987887169,133.2987887169,143.2987887169,156.2987887169,164.2987887169
RUS42,Nijni-Novgorod,Russie,3591,3682,3696,3720,3524,3311,1582.141,2052.903,2355.51,2533.762,2395.331,2299.663,44.1,55.7,63.7,68.1,68,69.5,-2.0013232545,8.9986767455,17.9986767455,27.9986767455,40.9986767455,48.9986767455
RUS43,Novgorod,Russie,737,721,722,752,694,634,184.709,298.679,390.9,445.215,418.629,396.266,25.1,41.4,54.2,59.2,60.3,62.5,-24.7460512454,-13.7460512454,-4.7460512454,5.2539487546,18.2539487546,26.2539487546
RUS44,Novossibirsk,Russie,2298,2505,2618,2779,2692,2666,1230.665,1576.36,1779.826,1995.792,1964.711,2008.387,53.5,62.9,68,71.8,73,75.3,14.0717469056,25.0717469056,34.0717469056,44.0717469056,57.0717469056,65.0717469056
RUS45,Omsk,Russie,1645,1824,1955,2142,2079,1978,686.545,939.094,1140.004,1333.509,1319.275,1308.597,41.7,51.5,58.3,62.3,63.5,66.2,-9.7148591477,1.2851408523,10.2851408523,20.2851408523,33.2851408523,41.2851408523
RUS46,Orel,Russie,929,931,893,889,860,787,202.462,313.374,412.132,462.45,458.205,434.916,21.8,33.7,46.2,52,53.3,55.3,-35.704081215,-24.704081215,-15.704081215,-5.704081215,7.295918785,15.295918785
